smiles_cano,MOLECULEID,Absorbance maximum wavelength,E_AgAgCl_V
CCc1ccc(C2=[N+]3C(=C(c4ccccc4)c4c(C=O)c(C)c(-c5ccc(CC)s5)n4[B-]3(F)F)C=C2C)s1,M100033022,632,-1.062323846
CCc1ccc(C2=[N+]3C(=C(c4ccccc4)c4cc(C)c(-c5sc(CC)cc5C=O)n4[B-]3(F)F)C=C2C)s1,M100033023,595,-1.389758199
CCC1=C(C)C2=C(c3ccc(O)cc3)c3c(C)c(CC)c(C=Cc4ccc(O[Si](C(C)C)(C(C)C)C(C)C)cc4)n3[B-](F)(F)[N+]2=C1C=O,M100033051,591,-1.30551148
C#CCOc1ccc(OCc2cnnn2CCCCCCOc2ccc(C3=C4C(C)=C(I)C(C=Cc5ccc(O)c([N+](=O)[O-])c5)=[N+]4[B-](F)(F)n4c(C=Cc5ccc(O)c([N+](=O)[O-])c5)c(I)c(C)c43)cc2)cc1,M100033388,645,-1.257730435
CC1=CC(/C=C/c2ccc(O)cc2)=[N+]2C1=C(c1ccc(N=[N+]=[N-])cc1)c1c(C)cc(/C=C/c3ccc(O)cc3)n1[B-]2(F)F,M100033511,641,-1.643125585
CC1=CC(/C=C/c2ccccn2)=[N+]2C1=C(c1ccc(N=[N+]=[N-])cc1)c1c(C)cc(/C=C/c3ccccn3)n1[B-]2(F)F,M100033512,624,-1.342983459
CC1=CC(/C=C/c2ccc(C(=O)O)cc2)=[N+]2C1=C(c1ccc(N=[N+]=[N-])cc1)c1c(C)cc(/C=C/c3ccc(C(=O)O)cc3)n1[B-]2(F)F,M100033513,633,-1.32774669
CCN(CC)c1ccc(C=CC2=[N+]3C(=C(c4ccc([N+](=O)[O-])cc4)c4c(C)c(I)c(C)n4[B-]3(F)F)C(C)=C2I)cc1,M100033539,675,-1.473521095
CC1=C(c2ccccc2)C(C=Cc2ccc(OS(=O)(=O)c3ccc([N+](=O)[O-])cc3[N+](=O)[O-])cc2)=[N+]2C1=C(c1ccc(OCCN=[N+]=[N-])cc1)c1c(C)c(-c3ccccc3)c(C)n1[B-]2(F)F,M100033540,580,-1.072076407
COc1ccc(C=CC2=[N+]3C(=C(c4ccc(OCCN=[N+]=[N-])cc4)c4c(C)c(I)c(C=Cc5ccc(OC)cc5)n4[B-]3(F)F)C(C)=C2I)cc1,M100033541,661,-1.330716296
COc1ccc(C2=[N+]3C(=C(c4ccc(C#N)cc4)c4cc(Cl)c(-c5ccc(OC)cc5)n4[B-]3(F)F)C=C2Cl)cc1,M100033921,587,-1.047558976
COc1ccc(C2=[N+]3C(=C(c4ccc(C#N)cc4)c4cc(-c5cccs5)c(-c5ccc(OC)cc5)n4[B-]3(F)F)C=C2c2cccs2)cc1,M100033922,635,-1.202731901
COc1ccc(C2=[N+]3C(=C(c4ccc(C#N)cc4)c4cc(-c5ccc(OC)cc5)c(-c5ccc(OC)cc5)n4[B-]3(F)F)C=C2c2ccc(C#N)cc2)cc1,M100033923,606,-1.231774613
CCCCCCCCCCCCOc1ccc(C=Cc2c(C#Cc3ccc(N(C)C)cc3)c(C)c3n2[B-](F)(F)[N+]2=C(C)C(C#Cc4ccc([N+](=O)[O-])cc4)=C(C)C2=C3c2ccc(OCCCCCCCCCCCC)cc2)cc1,M100034546,638,-1.798235618
CCCCCCCCCCCCOc1ccc(C=CC2=[N+]3C(=C(c4ccc(OCCCCCCCCCCCC)cc4)c4c(C)c(C#Cc5ccc(N(C)C)cc5)c(C)n4[B-]3(F)F)C(C)=C2C#Cc2ccc([N+](=O)[O-])cc2)cc1,M100034547,626,-1.907119256
CCCCC(CC)COc1cc(OCC(CC)CCCC)cc(C2=C3C(C)=C(CC)C(C=Cc4ccc(OCCCCCCN=[N+]=[N-])cc4)=[N+]3[B-](F)(F)n3c(C=Cc4ccc(N(C)C)cc4)c(CC)c(C)c32)c1,M100034618,647,-1.468289707
CCC1=C(C)C2=C(C#Cc3ccc(/C=C(\C#N)C(=O)O)cc3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,M100034656,585,-1.234364319
CCC1=C(C)C2=C(c3ccc(C=O)cc3)c3c(C)c(CC)c(C=Cc4ccc(N(c5ccc(OC)cc5)c5ccc(OC)cc5)cc4)n3[B-](F)(F)[N+]2=C1C=Cc1ccc(N(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,M100034661,723,-1.479014263
CCC1=C(C)C2=C(c3ccc(/C=C(\C#N)C(=O)O)cc3)c3c(C)c(CC)c(C=Cc4ccc(N(c5ccc(OC)cc5)c5ccc(OC)cc5)cc4)n3[B-](F)(F)[N+]2=C1C=Cc1ccc(N(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,M100034662,725,-1.898243572
CCC1=C(C)C2=C(c3ccc([N+](=O)[O-])cc3)c3c(C)c(CC)c(C=Cc4ccc(N(c5ccccc5)c5ccccc5)cc4)n3[B-](F)(F)[N+]2=C1C=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1,M100034731,702,-1.538023781
CC1=CC(C=CC(C)C)=[N+]2C1=C(C=Cc1ccc([N+](=O)[O-])cc1)c1c(C)cc(C=CC(C)C)n1[B-]2(F)F,M100034747,598.5,-1.352460643
C#CCOc1ccc(OCc2cn(CCCCCCOc3ccc(C4=C5C(C)=C(I)C(C=Cc6ccc(O)c([N+](=O)[O-])c6)=[N+]5[B-](F)(F)n5c(C=Cc6ccc(O)c([N+](=O)[O-])c6)c(I)c(C)c54)cc3)nn2)cc1,M100034762,720,-1.282633223
CCC1=C(C)C2=C(c3ccc(C(=O)NCCc4ccc([N+](=O)[O-])cc4)cc3)c3c(C)c(CC)c(C=Cc4ccc(OC)cc4)n3[B-](F)(F)[N+]2=C1C=Cc1ccc(OC)cc1,M100034776,655,-1.721131647
CC1=C(Br)C(C=Cc2ccc(OCc3ccccc3)cc2)=[N+]2C1=C(c1ccc([N+](=O)[O-])cc1)c1c(C)c(Br)c(C=Cc3ccc(OCc4ccccc4)cc3)n1[B-]2(F)F,M100034828,676,-1.298364943
O=[N+]([O-])c1ccc(C2=C3C=CC(Sc4cccs4)=[N+]3[B-](F)(F)n3c(Sc4cccs4)ccc32)cc1,M100034833,587,-1.316862682
O=[N+]([O-])c1ccc(C2=C3C=CC(Sc4ccc(-c5cccs5)s4)=[N+]3[B-](F)(F)n3c(Sc4ccc(-c5cccs5)s4)ccc32)cc1,M100034835,588,-1.148305567
CSc1ccc(C2=[N+]3C(=C(c4ccc([N+](=O)[O-])cc4)c4c(-c5ccccc5)cc(-c5ccc(SC)cc5)n4[B-]3(F)F)C(c3ccccc3)=C2)cc1,M100034865,606,-1.289339752
CC1=CC(C=Cc2ccc(C#N)cc2)=[N+]2C1=C(c1c(C)cc(C)cc1C)c1c(C)cc(C=Cc3ccc(C#N)cc3)n1[B-]2(F)F,M100034873,634,-1.217198559
CC1=C(C#Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)C(C)=[N+]2C1=C(c1ccc(-c3ccc(C=C(C#N)C(=O)O)cc3)cc1)c1c(C)c(C#Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)c(C)n1[B-]2(F)F,M100034884,598,-1.556350656
CC1=C(I)C(C=Cc2ccccc2OCc2ccccn2)=[N+]2C1=C(c1ccc([N+](=O)[O-])cc1)c1c(C)c(I)c(C=Cc3ccccc3OCc3ccccn3)n1[B-]2(F)F,M100034926,664,-1.321114477
COc1ccc(C=CC2=[N+]3C(=C(c4ccc([N+](=O)[O-])cc4)c4c(C)c(I)c(C=Cc5ccc(OC)c(OC)c5)n4[B-]3(F)F)C(C)=C2I)cc1OC,M100034927,684,-1.2870763
COc1cc(C=CC2=[N+]3C(=C(c4ccc([N+](=O)[O-])cc4)c4c(C)c(I)c(C=Cc5cc(OC)c(OC)cc5[N+](=O)[O-])n4[B-]3(F)F)C(C)=C2I)c([N+](=O)[O-])cc1OC,M100034928,657,-1.238638126
CC1=CC(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)=[N+]2C1=C(c1ccc(OS(=O)(=O)c3ccc([N+](=O)[O-])cc3[N+](=O)[O-])cc1)c1c(C)cc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)n1[B-]2(F)F,M100035170,691,-1.029139284
Cc1cc(C)c(C2=C3C=C(C=Cc4ccc([N+](=O)[O-])cc4)C=[N+]3[B-](F)(F)n3cc(C=Cc4ccc([N+](=O)[O-])cc4)cc32)c(C)c1,M100035172,628,-1.251604909
COc1ccc(/C=C/c2cc3n(c2)[B-](F)(F)[N+]2=CC(C=Cc4ccc([N+](=O)[O-])cc4)=CC2=C3c2c(C)cc(C)cc2C)cc1,M100035174,637,-1.249638069
CC1=CC(C=Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)=[N+]2C1=C(c1ccc(C#N)cc1)c1c(C)cc(C=Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)n1[B-]2(F)F,M100035179,661,-1.469701439
CC1=CC(/C=C/c2ccc(C#N)cc2)=[N+]2C1=C(c1ccc(-c3ccncc3)cc1)c1c(C)cc(/C=C/c3ccc(C#N)cc3)n1[B-]2(F)F,M100035265,636,-1.302892901
CC1=CC(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)=[N+]2C1=C(c1ccc(C=C(C#N)C(=O)O)cc1)c1c(C)cc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)n1[B-]2(F)F,M100035675,699,-1.51525112
CCC1=C(C)C2=C(c3c(F)c(F)c(F)c(F)c3F)c3c(C)c(CC)c(C=Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4O)n3[B-](F)(F)[N+]2=C1C=Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,M100035680,727,-1.018266713
Cc1cc(C=CC=Cc2ccc([N+](=O)[O-])cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,M100035759,582,-1.39760542
Cc1cc(C=Cc2ccc(F)c([N+](=O)[O-])c2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,M100035783,584,-1.863621612
COc1ccc(C=Cc2cc(C)c3n2[B-](F)(F)[N+]2=C(C=Cc4ccc(N(CC(=O)NCCO)CC(=O)NCCO)c(N(CC(=O)NCCO)CC(=O)NCCO)c4)C=C(C)C2=C3c2ccc(C#N)cc2)cc1,M100035858,665,-1.45820354
Cc1cc(C)c(C2=C3C=C(c4ccc(N(C)C)cc4)C=[N+]3[B-](F)(F)n3cc(-c4ccc([N+](=O)[O-])cc4)cc32)c(C)c1,M100035890,644,-1.251761918
COc1ccc(C(=C(C#N)C#N)C(=C(C#N)C#N)c2c(C)c3n(c2C)[B-](F)(F)[N+]2=C(/C=C/c4ccc(N(C)C)cc4)C=C(C)C2=C3C)cc1,M100035932,599,-0.640486671
CCC1=C(C)C2=C(C=Cc3ccc([N+](=O)[O-])cc3)c3c(C)c(CC)c(C=Cc4ccc(OC)cc4)n3[B-](F)(F)[N+]2=C1C=Cc1ccc(OC)cc1,M100035956,666,-1.315288246
CC1=CC(C=Cc2ccc(CN3CCOCC3)cc2)=[N+]2C1=C(c1ccc([N+](=O)[O-])cc1)c1c(C)cc(C=Cc3ccc(CN4CCOCC4)cc3)n1[B-]2(F)F,M100036085,641,-1.473389397
CC1=CC(C=Cc2cccc[n+]2C)=[N+]2C1=C(c1ccc(N=[N+]=[N-])cc1)c1c(C)cc(C=Cc3ccccn3)n1[B-]2(F)F.[I-],M100036162,626,-0.860669789
CC1=CC(C=Cc2ccc(C#N)cc2)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C=Cc3ccc(C#N)cc3)n1[B-]2(F)F,M100036283,627,-1.342933665
Cc1cc(/C=C/c2ccc(OS(=O)(=O)c3ccc([N+](=O)[O-])cc3[N+](=O)[O-])cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,M100036982,600,-1.859085146
COc1ccc(C2=C3C=C(c4ccc(C=O)cc4)C(/C=C/c4ccc(C(F)(F)F)cc4)=[N+]3[B-](F)(F)n3c2cc(-c2ccc(C=O)cc2)c3/C=C/c2ccc(C(F)(F)F)cc2)cc1,M100039985,640,-1.078841184
O=Cc1ccc(C2=CC3=C(c4ccc(C(F)(F)F)cc4)c4cc(-c5ccc(C=O)cc5)c(/C=C/c5ccc(C(F)(F)F)cc5)n4[B-](F)(F)[N+]3=C2/C=C/c2ccc(C(F)(F)F)cc2)cc1,M100039987,661,-1.015407338
Cc1ccccc1C1=C2C=C(c3ccc(C=O)cc3)C(/C=C/c3ccc(C(F)(F)F)cc3)=[N+]2[B-](F)(F)n2c1cc(-c1ccc(C=O)cc1)c2/C=C/c1ccc(C(F)(F)F)cc1,M100039989,646,-1.088311535
CC1=C(Br)C(C=Cc2ccc(O)c(O)c2)=[N+]2C1=C(c1ccc([N+](=O)[O-])cc1)c1c(C)c(Br)c(C=Cc3ccc(O)c(O)c3)n1[B-]2(F)F,M100040245,700,-1.295238355
CCCCCCC1(CCCCCC)c2cc(C#Cc3ccc(C4=[N+]5C(=Nc6c(-c7ccccc7)cc(-c7ccc(C#Cc8ccc9c(c8)C(CCCCCC)(CCCCCC)c8cc([N+](=O)[O-])ccc8-9)cc7)n6[B-]5(F)F)C(c5ccccc5)=C4)cc3)ccc2-c2ccc([N+](=O)[O-])cc21,M100479012,694,-0.776061703
[N-]=[N+]=NCCOc1ccc(/C=C/c2ccc3n2[B-](F)(F)[n+]2c4n(c5ccccc52)[B-](F)(F)[N+]2=CC=CC2=C34)cc1,M100479042,694,-0.656058957
CCC1(CC)c2ccc(/C=C/C3=C(C#N)C(=C(C#N)C#N)OC3(C)C)cc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,M100479509,580,-1.170669513
COc1ccc(C2=C(c3ccc(OC)cc3)c3cc([N+](=O)[O-])cc4c(-c5ccc(OC)cc5)c5c6ccc(OC)cc6c(-c6ccc(OC)cc6)c(-c6ccc(OC)cc6)[n+]5c(c34)O2)cc1,M100480149,587,-1.030809256
N#CC1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,M100480310,690,-1.005686341
CC1=CC(C)=[N+]2C1=C(c1ccc(OCCN=[N+]=[N-])cc1)c1c(C)cc(C=Cc3ccc(N(C)C)cc3)n1[B-]2(F)F,M100532471,608,-1.742952181
CC1=C(C)C(C)=[N+]2C1=C(C#N)c1c(C)c(C)c(C)n1[B-]2(F)F,M97692510,588,-1.131021192
Cc1cc(/C=C/c2ccc(C=O)s2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,M99948989,580,-1.253407663
Cc1cc(/C=C/c2ccc(N3CCCC3)c([N+](=O)[O-])c2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,M99949116,584,-1.448116822
Cc1cc(/C=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,M99949162,600,-1.505335565